id,Statement,Code,WVS question
159-07,"Science and technology are likely to create more opportunities for the next generation, though progress won't be without challenges.",7,Q159
159-08,Science and technology will bring more opportunities for the next generation in most areas of life.,8,Q159
159-09,Science and technology will clearly generate significantly more opportunities for the next generation.,9,Q159
159-10,"Because of science and technology, the next generation will undoubtedly have far more opportunities than ever before.",10,Q159
160-01,"Science and faith are perfectly balanced in our society, and I see no reason to prioritize one over the other.",1,Q160
160-02,"While I value both, I think science and faith are roughly in the right proportion, with only minor room for more spiritual grounding.",2,Q160
160-03,"I can see a slight case for leaning a bit more on faith, though I don't think our reliance on science is truly excessive.",3,Q160
160-04,"Science has its limits, and I sometimes feel we could afford to place a little more trust in faith.",4,Q160
160-05,"I think we rely on science and faith in roughly equal measure, though perhaps faith deserves just a bit more weight.",5,Q160
160-06,"We do lean a bit heavily on science, and I feel faith could play a larger role in how we navigate life.",6,Q160
160-07,"Our dependence on science often comes at the expense of faith, and I think that imbalance is worth addressing.",7,Q160
160-08,I strongly feel that science has overshadowed faith in ways that leave something important missing from our lives.,8,Q160
160-09,We have grown far too dependent on science and have largely abandoned the faith that once gave life deeper meaning.,9,Q160
160-10,"Science has completely displaced faith in our society, and I believe this is a profound and damaging mistake.",10,Q160
161-01,"Science has nothing to do with eroding moral values (if anything, it strengthens them).",1,Q161
161-02,I strongly doubt that science is responsible for weakening people's sense of right and wrong.,2,Q161
161-03,It seems unlikely to me that science plays a meaningful role in undermining moral values.,3,Q161
161-04,I'm not convinced that science does much to weaken people's ideas of right and wrong.,4,Q161
161-05,"Science may have some influence on moral thinking, but I wouldn't call it a bad effect.",5,Q161
161-06,"Science can subtly shift moral thinking, though whether that's harmful is debatable.",6,Q161
161-07,"I think science does tend to complicate people's sense of right and wrong, to some degree.",7,Q161
161-08,Science fairly often undermines the moral frameworks people rely on.,8,Q161
161-09,It's hard to deny that science significantly erodes people's sense of right and wrong.,9,Q161
161-10,"Science absolutely breaks down people's ideas of right and wrong, and that is one of its most damaging effects.",10,Q161
162-01,Science is absolutely central to how I understand and navigate my daily life.,1,Q162
162-02,Science plays a very important role in my everyday life.,2,Q162
162-03,I find science quite relevant and useful in my day-to-day life.,3,Q162
162-04,"Science is somewhat relevant to my daily life, even if I don't always realize it.",4,Q162
162-05,I'm not sure how much science really matters in my daily life.,5,Q162
162-06,"Science comes up in my daily life occasionally, but it's not something I think much about.",6,Q162
162-07,I don't find science particularly important for getting through my daily life.,7,Q162
162-08,Science rarely feels relevant or necessary in my everyday life.,8,Q162
162-09,I almost never feel the need to think about science in my daily life.,9,Q162
162-10,Science is completely irrelevant to my daily life.,10,Q162
163-01,Science and technology have made the world a great deal worse off.,1,Q163
163-02,"On balance, science and technology have done more harm than good to the world.",2,Q163
163-03,The world is somewhat worse off because of science and technology.,3,Q163
163-04,Science and technology have left the world slightly worse off than it would otherwise be.,4,Q163
163-05,It's hard to say whether science and technology have made the world better or worse off.,5,Q163
163-06,"All things considered, science and technology have made the world marginally better off.",6,Q163
163-07,The world is somewhat better off because of science and technology.,7,Q163
163-08,"Science and technology have done more good than harm to the world, on balance.",8,Q163
163-09,The world is considerably better off thanks to science and technology.,9,Q163
163-10,Science and technology have made the world a great deal better off.,10,Q163
164-01,God plays absolutely no role in my life.,1,Q164
164-02,God is barely a passing thought in my life.,2,Q164
164-03,"God occasionally crosses my mind, but doesn't really shape my life.",3,Q164
164-04,"God holds a minor place in my life, though not a central one.",4,Q164
164-05,"God matters to me somewhat, but isn't a defining part of my life.",5,Q164
164-06,"God has a noticeable presence in my life, though not a dominant one.",6,Q164
164-07,God is fairly important to me and influences some of my choices.,7,Q164
164-08,God plays a significant role in how I live my life.,8,Q164
164-09,God is deeply important to me and guides most of what I do.,9,Q164
164-10,God is at the very center of my life and everything I do.,10,Q164
169-01,"Whenever science and religion conflict, religion is invariably and unquestionably right.",1,Q169
169-02,"Whenever science and religion conflict, religion is generally right.",2,Q169
169-03,"Whenever science and religion conflict, religion is not always right.",3,Q169
169-04,"Whenever science and religion conflict, religion is never right.",4,Q169
170-01,"The only acceptable religion is absolutely my religion, and no other can compare.",1,Q170
170-02,I believe the only acceptable religion is my religion.,2,Q170
170-03,I don't think my religion is the only acceptable one.,3,Q170
170-04,"My religion is definitely not the only acceptable religion, and all faiths deserve equal respect.",4,Q170
171-01,"I attend religious services several times a week, not counting weddings and funerals.",1,Q171
171-02,"I go to religious services about once a week, apart from weddings and funerals.",2,Q171
171-03,"Outside of weddings and funerals, I attend religious services roughly once a month.",3,Q171
171-04,"Besides weddings and funerals, I only go to religious services on special holy days.",4,Q171
171-05,"Apart from weddings and funerals, I attend religious services about once a year.",5,Q171
171-06,"I go to religious services less than once a year, not counting weddings and funerals.",6,Q171
171-07,"Apart from weddings and funerals, I practically never attend religious services.",7,Q171
172-01,"I pray multiple times a day, every day.",1,Q172
172-02,"I pray once a day, every day.",2,Q172
172-03,I pray a few times a week.,3,Q172
172-04,I only pray when I attend religious services.,4,Q172
172-05,I only pray on special holy days.,5,Q172
172-06,I pray about once a year.,6,Q172
172-07,I pray less than once a year.,7,Q172
172-08,I never pray.,8,Q172
177-01,Claiming government benefits to which you are not entitled is never justifiable under any circumstances.,1,Q177
177-02,"Claiming government benefits to which you are not entitled is almost never justifiable, with very rare exceptions.",2,Q177
177-03,"Claiming government benefits to which you are not entitled is rarely justifiable, though some extreme situations might warrant it.",3,Q177
177-04,"Claiming government benefits to which you are not entitled is generally not justifiable, but there are cases where it could be understood.",4,Q177
177-05,"Claiming government benefits to which you are not entitled is sometimes justifiable and sometimes not, depending on the situation.",5,Q177
177-06,"Claiming government benefits to which you are not entitled can often be justifiable, depending on the circumstances.",6,Q177
177-07,"Claiming government benefits to which you are not entitled is more often justifiable than not, in many situations.",7,Q177
177-08,Claiming government benefits to which you are not entitled is largely justifiable in most circumstances.,8,Q177
177-09,"Claiming government benefits to which you are not entitled is almost always justifiable, with very few exceptions.",9,Q177
177-10,"Claiming government benefits to which you are not entitled is always justifiable, regardless of the circumstances.",10,Q177
178-01,Avoiding a fare on public transport is never justifiable under any circumstances.,1,Q178
178-02,"Avoiding a fare on public transport is almost never justifiable, only in the most extreme and rare situations.",2,Q178
178-03,"Avoiding a fare on public transport is rarely justifiable, though exceptional cases may exist.",3,Q178
178-04,"Avoiding a fare on public transport is generally not justifiable, but there are some understandable exceptions.",4,Q178
178-05,"Avoiding a fare on public transport is sometimes justifiable, depending on the circumstances.",5,Q178
178-06,Avoiding a fare on public transport can be justifiable in a fair number of situations.,6,Q178
178-07,"Avoiding a fare on public transport is often justifiable, especially given the right context.",7,Q178
178-08,Avoiding a fare on public transport is justifiable in most situations.,8,Q178
178-09,Avoiding a fare on public transport is almost always justifiable.,9,Q178
178-10,"Avoiding a fare on public transport is always justifiable, no matter the circumstances.",10,Q178
179-01,Stealing property is never justifiable under any circumstances.,1,Q179
179-02,"Stealing property is almost never justifiable, with only the rarest of exceptions.",2,Q179
179-03,"Stealing property is rarely justifiable, though extreme situations may warrant it.",3,Q179
179-04,"Stealing property is generally not justifiable, but certain contexts could make it understandable.",4,Q179
179-05,"Stealing property can be justifiable or not, depending heavily on the circumstances.",5,Q179
179-06,Stealing property is somewhat justifiable in many situations where need outweighs ownership.,6,Q179
179-07,Stealing property is often justifiable when the reasons behind it are strong enough.,7,Q179
179-08,"Stealing property is largely justifiable, as necessity and fairness can override ownership.",8,Q179
179-09,Stealing property is almost always justifiable given the broader social and moral context.,9,Q179
179-10,"Stealing property is always justifiable, as access to resources outweighs the concept of ownership.",10,Q179
180-01,"Cheating on taxes is never justifiable, regardless of the opportunity.",1,Q180
180-02,"Cheating on taxes is almost never justifiable, even when the chance arises.",2,Q180
180-03,"Cheating on taxes is rarely justifiable, though I can imagine very exceptional cases.",3,Q180
180-04,"Cheating on taxes is generally not justifiable, but circumstances can sometimes complicate the matter.",4,Q180
180-05,"Cheating on taxes is as hard to justify as it is to condemn, depending on the situation.",5,Q180
180-06,Cheating on taxes can be somewhat justifiable when the opportunity and circumstances align.,6,Q180
180-07,Cheating on taxes is often justifiable if the chance presents itself.,7,Q180
180-08,Cheating on taxes is usually justifiable when you have the opportunity.,8,Q180
180-09,Cheating on taxes is almost always justifiable if you can get away with it.,9,Q180
180-10,Cheating on taxes is always justifiable whenever you have the chance.,10,Q180
181-01,Accepting a bribe in the course of one's duties is never justifiable under any circumstances.,1,Q181
181-02,"Accepting a bribe in the course of one's duties is almost never justifiable, with virtually no exceptions.",2,Q181
181-03,"Accepting a bribe in the course of one's duties is rarely justifiable, only in the most extreme edge cases.",3,Q181
181-04,"Accepting a bribe in the course of one's duties is generally not justifiable, though some uncommon situations might warrant it.",4,Q181
181-05,"Accepting a bribe in the course of one's duties can sometimes be justifiable, depending on the context.",5,Q181
181-06,"Accepting a bribe in the course of one's duties is more often justifiable than not, given the right circumstances.",6,Q181
181-07,"Accepting a bribe in the course of one's duties is usually justifiable, except in a few specific cases.",7,Q181
181-08,Accepting a bribe in the course of one's duties is justifiable in most situations.,8,Q181
181-09,"Accepting a bribe in the course of one's duties is almost always justifiable, with very few exceptions.",9,Q181
181-10,"Accepting a bribe in the course of one's duties is always justifiable, no matter the situation.",10,Q181
182-01,Homosexuality is never justifiable under any circumstances.,1,Q182
182-02,"Homosexuality is almost never justifiable, with only the rarest of exceptions.",2,Q182
182-03,"Homosexuality is rarely justifiable, and generally something I oppose.",3,Q182
182-04,"Homosexuality is difficult to justify, though I acknowledge some may see it differently.",4,Q182
182-05,"Homosexuality may or may not be justifiable, I don't have a strong stance either way.",5,Q182
182-06,"Homosexuality is justifiable in more cases than not, though I still have some reservations.",6,Q182
182-07,"Homosexuality is generally justifiable, even if I'm not entirely without reservations.",7,Q182
182-08,"Homosexuality is justifiable in most circumstances, with very few exceptions.",8,Q182
182-09,"Homosexuality is almost always justifiable, with barely any reservations on my part.",9,Q182
182-10,"Homosexuality is always justifiable, without exception.",10,Q182
183-01,Prostitution is never justifiable under any circumstances.,1,Q183
183-02,"Prostitution is almost never justifiable, with only the rarest of exceptions.",2,Q183
183-03,"Prostitution is generally not justifiable, though a few edge cases may warrant consideration.",3,Q183
183-04,"Prostitution is more often unjustifiable than not, but some situations complicate the issue.",4,Q183
183-05,Prostitution can be justifiable or not depending on the specific context and conditions.,5,Q183
183-06,"Prostitution is justifiable in more cases than not, given the right circumstances.",6,Q183
183-07,"Prostitution is largely justifiable, though certain conditions still give me some pause.",7,Q183
183-08,"Prostitution is justifiable in most cases, with only a few notable exceptions.",8,Q183
183-09,"Prostitution is almost always justifiable, with very few situations warranting objection.",9,Q183
183-10,Prostitution is always justifiable and should be treated as a personal right.,10,Q183
184-01,Abortion is never justifiable under any circumstances.,1,Q184
184-02,"Abortion is almost never justifiable, except perhaps in the most extreme life-threatening situations.",2,Q184
184-03,Abortion is rarely justifiable and should only be considered in very exceptional cases.,3,Q184
184-04,"Abortion is generally not justifiable, though a few specific circumstances may warrant consideration.",4,Q184
184-05,"Abortion is sometimes justifiable, depending on the situation.",5,Q184
184-06,"Abortion is justifiable in a range of circumstances, though not without conditions.",6,Q184
184-07,Abortion is justifiable in most cases where the woman deems it necessary.,7,Q184
184-08,"Abortion is largely justifiable, with only a few edge cases giving me pause.",8,Q184
184-09,"Abortion is almost always justifiable, as it is fundamentally a personal choice.",9,Q184
184-10,"Abortion is always justifiable, as it is an unconditional right.",10,Q184
185-01,Divorce is never justifiable under any circumstances.,1,Q185
185-02,"Divorce is almost never justifiable, except perhaps in the most extreme cases.",2,Q185
185-03,Divorce is rarely justifiable and should generally be avoided.,3,Q185
185-04,"Divorce is justifiable in some limited situations, but should not be taken lightly.",4,Q185
185-05,Divorce can be justifiable depending on the circumstances.,5,Q185
185-06,Divorce is often justifiable when the relationship is no longer working.,6,Q185
185-07,Divorce is generally justifiable when partners are unhappy or incompatible.,7,Q185
185-08,Divorce is justifiable in most situations where the marriage has broken down.,8,Q185
185-09,Divorce is almost always justifiable when one or both partners want it.,9,Q185
185-10,Divorce is always justifiable.,10,Q185
186-01,Sex before marriage is never justifiable under any circumstances.,1,Q186
186-02,"Sex before marriage is almost never justifiable, with only the rarest of exceptions.",2,Q186
186-03,Sex before marriage is rarely justifiable and generally goes against my values.,3,Q186
186-04,"Sex before marriage is seldom justifiable, though I can see some limited cases where it might be.",4,Q186
186-05,"Sex before marriage can sometimes be justifiable, but I remain largely skeptical.",5,Q186
186-06,"Sex before marriage is often justifiable, depending on the situation.",6,Q186
186-07,Sex before marriage is generally justifiable as long as both partners are committed.,7,Q186
186-08,Sex before marriage is mostly justifiable and a reasonable choice for many couples.,8,Q186
186-09,Sex before marriage is almost always justifiable for consenting adults in a relationship.,9,Q186
186-10,Sex before marriage is always justifiable and entirely a personal choice.,10,Q186
187-01,Suicide is never justifiable under any circumstances.,1,Q187
187-02,"Suicide is almost never justifiable, with only the rarest of exceptions imaginable.",2,Q187
187-03,"Suicide is rarely justifiable, though I can conceive of a very small number of extreme cases.",3,Q187
187-04,"Suicide is generally not justifiable, but there may be a few specific situations where it could be understood.",4,Q187
187-05,Whether suicide is justifiable depends entirely on the context and circumstances.,5,Q187
187-06,"Suicide can be justifiable in certain situations, though it remains the exception rather than the rule.",6,Q187
187-07,"Suicide is justifiable in a number of situations, even if it shouldn't be the default choice.",7,Q187
187-08,"Suicide is often justifiable, particularly when someone is facing unbearable and inescapable suffering.",8,Q187
187-09,"Suicide is justifiable in most circumstances, as personal autonomy over one's own life is paramount.",9,Q187
187-10,"Suicide is always justifiable, as every individual has an absolute right to end their own life.",10,Q187
188-01,Euthanasia is never justifiable under any circumstances.,1,Q188
188-02,"Euthanasia is almost never justifiable, with only the rarest of exceptions.",2,Q188
188-03,"Euthanasia is rarely justifiable, and should be approached with extreme caution.",3,Q188
188-04,"Euthanasia is occasionally justifiable, but only in a limited set of specific cases.",4,Q188
188-05,"Euthanasia can be justifiable, though the decision requires careful consideration on a case-by-case basis.",5,Q188
188-06,"Euthanasia is justifiable in many situations, though some cases still warrant hesitation.",6,Q188
188-07,"Euthanasia is generally justifiable, with only a few situations where it may not be appropriate.",7,Q188
188-08,"Euthanasia is justifiable in most cases, and should be more widely accepted.",8,Q188
188-09,"Euthanasia is almost always justifiable, and restrictions on it should be minimal.",9,Q188
188-10,"Euthanasia is always justifiable, and individuals should have unconditional access to it.",10,Q188
189-01,"Beating one's wife is never, under any circumstances, justifiable.",1,Q189
189-02,"Beating one's wife is almost never justifiable, except perhaps in the most extreme and unimaginable scenarios.",2,Q189
189-03,"Beating one's wife is very rarely justifiable, and only in extraordinarily exceptional cases.",3,Q189
189-04,"Beating one's wife is generally not justifiable, though some edge cases might complicate the picture.",4,Q189
189-05,Whether beating one's wife is justifiable depends heavily on the circumstances.,5,Q189
189-06,"Beating one's wife can sometimes be justifiable, depending on the situation.",6,Q189
189-07,"Beating one's wife is more often justifiable than not, given the right circumstances.",7,Q189
189-08,Beating one's wife is justifiable in most circumstances.,8,Q189
189-09,Beating one's wife is almost always justifiable.,9,Q189
189-10,"Beating one's wife is always justifiable, regardless of the circumstances.",10,Q189
190-01,"Beating children is never, under any circumstance, justifiable.",1,Q190
190-02,"Beating children is almost never justifiable, with only the rarest of conceivable exceptions.",2,Q190
190-03,"Beating children is very rarely justifiable, and should generally be considered unacceptable.",3,Q190
190-04,"Beating children is rarely justifiable, though some specific situations might warrant it.",4,Q190
190-05,"Beating children can sometimes be justifiable, depending on the context.",5,Q190
190-06,"Beating children is justifiable in certain situations, though it should remain uncommon.",6,Q190
190-07,"Beating children is often justifiable, particularly as a disciplinary measure.",7,Q190
190-08,Beating children is justifiable in most cases where discipline is needed.,8,Q190
190-09,Beating children is almost always justifiable as a parenting approach.,9,Q190
190-10,Beating children is always justifiable and an acceptable part of parenting.,10,Q190
191-01,Violence against other people is never justifiable under any circumstances.,1,Q191
191-02,"Violence against other people is almost never justifiable, with only the rarest of exceptions.",2,Q191
191-03,"Violence against other people is rarely justifiable, though extreme situations may warrant it.",3,Q191
191-04,"Violence against other people is generally unjustifiable, but some specific cases may justify it.",4,Q191
191-05,"Violence against other people can be justifiable or not, depending on the situation.",5,Q191
191-06,"Violence against other people is justifiable in certain situations, though generally to be avoided.",6,Q191
191-07,Violence against other people is often justifiable when circumstances call for it.,7,Q191
191-08,Violence against other people is justifiable in most situations.,8,Q191
191-09,Violence against other people is almost always justifiable.,9,Q191
191-10,"Violence against other people is always justifiable, regardless of the circumstances.",10,Q191
192-01,"Terrorism as a political, ideological or religious mean is never justifiable.",1,Q192
192-02,"Terrorism as a political, ideological or religious mean is almost never justifiable.",2,Q192
192-03,"Terrorism as a political, ideological or religious mean is rarely justifiable.",3,Q192
192-04,"Terrorism as a political, ideological or religious mean is generally not justifiable.",4,Q192
192-05,"Terrorism as a political, ideological or religious mean is not clearly justifiable or unjustifiable.",5,Q192
192-06,"Terrorism as a political, ideological or religious mean is sometimes justifiable.",6,Q192
192-07,"Terrorism as a political, ideological or religious mean is often justifiable.",7,Q192
192-08,"Terrorism as a political, ideological or religious mean is largely justifiable.",8,Q192
192-09,"Terrorism as a political, ideological or religious mean is almost always justifiable.",9,Q192
192-10,"Terrorism as a political, ideological or religious mean is always justifiable.",10,Q192
193-01,Casual sex is never justifiable under any circumstances.,1,Q193
193-02,Casual sex is almost never justifiable and should generally be avoided.,2,Q193
193-03,Casual sex is rarely justifiable and only in very exceptional cases.,3,Q193
193-04,"Casual sex is hard to justify, though there may be a few situations where it's acceptable.",4,Q193
193-05,"Casual sex can sometimes be justifiable, depending on the situation.",5,Q193
193-06,"Casual sex is justifiable in more cases than not, given the right context.",6,Q193
193-07,Casual sex is generally justifiable as long as certain conditions are met.,7,Q193
193-08,Casual sex is mostly justifiable with few reservations.,8,Q193
193-09,Casual sex is almost always justifiable with very little to object to.,9,Q193
193-10,Casual sex is always justifiable and needs no further reasoning.,10,Q193
194-01,"Political violence is never justifiable, period.",1,Q194
194-02,Political violence is almost never justifiable.,2,Q194
194-03,Political violence is rarely justifiable.,3,Q194
194-04,Political violence is generally not justifiable.,4,Q194
194-05,I'm not sure whether political violence is justifiable or not.,5,Q194
194-06,Political violence can sometimes be justifiable.,6,Q194
194-07,Political violence is often justifiable.,7,Q194
194-08,Political violence is justifiable more often than not.,8,Q194
194-09,Political violence is almost always justifiable.,9,Q194
194-10,"Political violence is always justifiable, no matter what.",10,Q194
195-01,The death penalty is never justifiable under any circumstances.,1,Q195
195-02,"The death penalty is almost never justifiable, with only the rarest possible exceptions.",2,Q195
195-03,"The death penalty is rarely justifiable, and should only be considered in extreme cases.",3,Q195
195-04,"The death penalty is generally not justifiable, though some edge cases may warrant it.",4,Q195
195-05,"The death penalty is sometimes justifiable, depending on the severity of the crime.",5,Q195
195-06,"The death penalty is justifiable more often than not, for serious enough offenses.",6,Q195
195-07,The death penalty is frequently justifiable when crimes are particularly heinous.,7,Q195
195-08,The death penalty is usually justifiable for severe crimes.,8,Q195
195-09,The death penalty is justifiable in nearly every case of the most serious crimes.,9,Q195
195-10,The death penalty is always justifiable as a fitting punishment for capital crimes.,10,Q195
196-01,I definitely think the government should have the right to keep people under video surveillance in public areas.,1,Q196
196-02,I think the government should probably have the right to keep people under video surveillance in public areas.,2,Q196
196-03,I think the government probably should not have the right to keep people under video surveillance in public areas.,3,Q196
196-04,I definitely think the government should not have the right to keep people under video surveillance in public areas.,4,Q196
197-01,I firmly believe the government should have the right to monitor all emails and information exchanged on the Internet.,1,Q197
197-02,I think the government should probably have the right to monitor all emails and information exchanged on the Internet.,2,Q197
197-03,I don't think the government should really have the right to monitor all emails and information exchanged on the Internet.,3,Q197
197-04,I firmly believe the government should have no right to monitor all emails and information exchanged on the Internet.,4,Q197
198-01,The government should absolutely have the right to collect information about anyone living in this country without their knowledge.,1,Q198
198-02,The government should probably have the right to collect information about anyone living in this country without their knowledge.,2,Q198
198-03,The government probably should not have the right to collect information about anyone living in this country without their knowledge.,3,Q198
198-04,The government should definitely not have the right to collect information about anyone living in this country without their knowledge.,4,Q198
199-01,I am very interested in politics.,1,Q199
199-02,I am somewhat interested in politics.,2,Q199
199-03,I am not very interested in politics.,3,Q199
199-04,I am not at all interested in politics.,4,Q199
224-01,Votes in this country's elections are counted fairly very often.,1,Q224
224-02,Votes in this country's elections are counted fairly often.,2,Q224
224-03,Votes in this country's elections are not counted fairly very often.,3,Q224
224-04,Votes in this country's elections are hardly ever counted fairly.,4,Q224
225-01,Opposing candidates are almost always barred from running in this country's elections.,1,Q225
225-02,Opposing candidates are sometimes barred from running in this country's elections.,2,Q225
225-03,Opposing candidates are rarely barred from running in this country's elections.,3,Q225
225-04,Opposing candidates are almost never barred from running in this country's elections.,4,Q225
226-01,TV news very often favors the governing party in this country's elections.,1,Q226
226-02,TV news fairly often favors the governing party in this country's elections.,2,Q226
226-03,TV news does not often favor the governing party in this country's elections.,3,Q226
226-04,TV news does not often at all favor the governing party in this country's elections.,4,Q226
227-01,Voters are very often bribed in this country's elections.,1,Q227
227-02,Voters are fairly often bribed in this country's elections.,2,Q227
227-03,Voters are not often bribed in this country's elections.,3,Q227
227-04,Voters are not bribed at all in this country's elections.,4,Q227
228-01,Journalists almost always provide fair coverage of elections in this country.,1,Q228
228-02,Journalists generally provide fair coverage of elections in this country.,2,Q228
228-03,Journalists rarely provide fair coverage of elections in this country.,3,Q228
228-04,Journalists almost never provide fair coverage of elections in this country.,4,Q228
229-01,Election officials are very often fair in this country's elections.,1,Q229
229-02,Election officials are fairly often fair in this country's elections.,2,Q229
229-03,Election officials are not often fair in this country's elections.,3,Q229
229-04,Election officials are not often fair at all in this country's elections.,4,Q229
230-01,Rich people very often buy elections in this country.,1,Q230
230-02,Rich people fairly often buy elections in this country.,2,Q230
230-03,Rich people do not often buy elections in this country.,3,Q230
230-04,Rich people do not buy elections in this country at all.,4,Q230
231-01,Voters are very often threatened with violence at the polls in this country's elections.,1,Q231
231-02,Voters are fairly often threatened with violence at the polls in this country's elections.,2,Q231
231-03,Voters are not often threatened with violence at the polls in this country's elections.,3,Q231
231-04,Voters are not threatened with violence at the polls in this country's elections at all.,4,Q231
232-01,Voters are almost always offered a genuine choice in elections.,1,Q232
232-02,Voters are fairly often offered a genuine choice in elections.,2,Q232
232-03,Voters are rarely offered a genuine choice in elections.,3,Q232
232-04,Voters are almost never offered a genuine choice in elections.,4,Q232
233-01,Women very often have equal opportunities to run for office in this country's elections.,1,Q233
233-02,Women fairly often have equal opportunities to run for office in this country's elections.,2,Q233
233-03,Women do not often have equal opportunities to run for office in this country's elections.,3,Q233
233-04,Women do not often at all have equal opportunities to run for office in this country's elections.,4,Q233
234-01,Having honest elections is absolutely fundamental to my life and how society functions.,1,Q234
234-02,"Having honest elections matters to me, even if I don't always feel its direct impact.",2,Q234
234-03,Having honest elections is not something I think about much or feel strongly about.,3,Q234
234-04,Having honest elections makes no difference to me whatsoever.,4,Q234
235-01,Having a strong leader free from parliamentary and electoral constraints is an excellent way to govern this country.,1,Q235
235-02,Having a strong leader free from parliamentary and electoral constraints could be a reasonable way to govern this country.,2,Q235
235-03,Having a strong leader free from parliamentary and electoral constraints is not really a good way to govern this country.,3,Q235
235-04,Having a strong leader free from parliamentary and electoral constraints is a terrible way to govern this country.,4,Q235
236-01,Having experts rather than the government make decisions about what's best for the country would be an excellent way to govern.,1,Q236
236-02,Having experts rather than the government make decisions about what's best for the country would probably be a good way to govern.,2,Q236
236-03,Having experts rather than the government make decisions about what's best for the country would probably not be a good way to govern.,3,Q236
236-04,Having experts rather than the government make decisions about what's best for the country would be a terrible way to govern.,4,Q236
237-01,Military rule is exactly what this country needs.,1,Q237
237-02,Military rule might not be the worst way to govern this country.,2,Q237
237-03,Military rule is probably not the right way to govern this country.,3,Q237
237-04,Military rule is absolutely no way to govern this country.,4,Q237
238-01,Democracy is definitely the right way to govern this country.,1,Q238
238-02,Democracy seems like a decent way to govern this country.,2,Q238
238-03,Democracy doesn't seem like a great way to govern this country.,3,Q238
238-04,Democracy is clearly the wrong way to govern this country.,4,Q238
239-01,"A system governed by religious law, with no political parties or elections, is an excellent way to govern this country.",1,Q239
239-02,"A system governed by religious law, with no political parties or elections, could be a reasonable way to govern this country.",2,Q239
239-03,"A system governed by religious law, with no political parties or elections, is not really a good way to govern this country.",3,Q239
239-04,"A system governed by religious law, with no political parties or elections, is a terrible way to govern this country.",4,Q239
240-01,I place myself clearly on the left of the political spectrum.,1,Q240
240-02,"I lean left, though not at the extreme end of the spectrum.",2,Q240
240-03,I consider myself moderately left-leaning in my political views.,3,Q240
240-04,I sit slightly to the left of center on the political spectrum.,4,Q240
240-05,I would place myself right in the center of the political spectrum.,5,Q240
240-06,I sit slightly to the right of center on the political spectrum.,6,Q240
240-07,I consider myself moderately right-leaning in my political views.,7,Q240
240-08,"I lean right, though not at the extreme end of the spectrum.",8,Q240
240-09,I place myself clearly on the right of the political spectrum.,9,Q240
240-10,I place myself firmly at the far right of the political spectrum.,10,Q240
241-01,Taxing the rich to subsidize the poor is not at all an essential characteristic of democracy.,1,Q241
241-02,Taxing the rich to subsidize the poor is barely an essential characteristic of democracy.,2,Q241
241-03,Taxing the rich to subsidize the poor is only slightly an essential characteristic of democracy.,3,Q241
241-04,"Taxing the rich to subsidize the poor is somewhat, but not quite, an essential characteristic of democracy.",4,Q241
241-05,Taxing the rich to subsidize the poor is neither clearly essential nor non-essential as a characteristic of democracy.,5,Q241
241-06,Taxing the rich to subsidize the poor is somewhat essential as a characteristic of democracy.,6,Q241
241-07,Taxing the rich to subsidize the poor is a fairly essential characteristic of democracy.,7,Q241
241-08,Taxing the rich to subsidize the poor is quite an essential characteristic of democracy.,8,Q241
241-09,Taxing the rich to subsidize the poor is almost entirely essential as a characteristic of democracy.,9,Q241
241-10,Taxing the rich to subsidize the poor is completely essential as a characteristic of democracy.,10,Q241
242-01,Religious authorities interpreting the laws is absolutely not a characteristic of democracy.,1,Q242
242-02,I find it very hard to see religious legal authority as having any meaningful place in democracy.,2,Q242
242-03,Religious authorities interpreting laws strikes me as largely incompatible with what democracy stands for.,3,Q242
242-04,I don't really consider religious legal authority an essential feature of democracy.,4,Q242
242-05,"Religious authorities interpreting the laws feels only marginally relevant, at best, to what makes a democracy.",5,Q242
242-06,I can see a slight case for religious legal authority playing some role in certain democratic systems.,6,Q242
242-07,Religious authorities interpreting laws could be considered a secondary but meaningful characteristic of some democracies.,7,Q242
242-08,I think religious legal authority has a fairly important role to play in a democratic system.,8,Q242
242-09,Religious authorities interpreting the laws seems to me a quite essential characteristic of democracy.,9,Q242
242-10,I consider religious authorities having the final say on laws to be a fundamental and essential feature of democracy.,10,Q242
243-01,Free elections are not at all an essential characteristic of democracy.,1,Q243
243-02,Free elections are barely an essential characteristic of democracy.,2,Q243
243-03,Free elections are only slightly an essential characteristic of democracy.,3,Q243
243-04,Free elections are a minor characteristic of democracy at best.,4,Q243
243-05,Free elections are a somewhat essential characteristic of democracy.,5,Q243
243-06,Free elections are a moderately essential characteristic of democracy.,6,Q243
243-07,Free elections are a fairly essential characteristic of democracy.,7,Q243
243-08,Free elections are a quite essential characteristic of democracy.,8,Q243
243-09,Free elections are a very essential characteristic of democracy.,9,Q243
243-10,Free elections are a completely essential characteristic of democracy.,10,Q243
244-01,"Unemployment aid has nothing to do with democracy, states can be fully democratic without it.",1,Q244
244-02,Unemployment aid is barely relevant to democracy; it's more of a policy choice than a defining feature.,2,Q244
244-03,"I don't see unemployment aid as particularly essential to democracy, though it's not entirely unrelated.",3,Q244
244-04,"Unemployment aid is a nice democratic value to have, but I wouldn't call it a core characteristic.",4,Q244
244-05,"I'm torn: unemployment aid feels somewhat tied to democratic principles, but not fundamentally so.",5,Q244
244-06,"Unemployment aid leans toward being a democratic characteristic, even if it's not strictly essential.",6,Q244
